lucode,LULC_desc,load_n,load_p,eff_n,eff_p,crit_len_n,crit_len_p,proportion_subsurface_n,,,,,,, 
1,AgriculturalVegetation,15.01,10.57,0.25,0.74,150,150,0,,,,,,,
2,PermanentCropland,15.01,10.57,0.25,0.74,150,150,0,,,,,,,
3,PermanentCropland,15.01,10.57,0.25,0.74,150,150,0,,,,,,,
4,PermanentCropland,15.01,10.57,0.25,0.74,150,150,0,,,,,,,
5,PermanentCropland,15.01,10.57,0.25,0.74,150,150,0,,,,,,,
6,PermanentCropland,15.01,10.57,0.25,0.74,150,150,0,,,,,,,
7,ArabaleLand,15.01,10.57,0.25,0.74,150,150,0,,,,,,,
8,ArabaleLand,15.01,10.57,0.25,0.74,150,150,0,,,,,,,
9,ArabaleLand,15.01,10.57,0.25,0.74,150,150,0,,,,,,,
10,ArtificialVegetatedArea,7,2,0.05,0.52,150,150,0,,,,,,,
11,Forest,5,1.3,0.8,0.84,150,150,0,,,,,,,
12,Forest,5,1.3,0.8,0.84,150,150,0,,,,,,,
13,TransitionalWoodlandScrub,6,0.1,0.6,0.5,150,150,0,,,,,,,
14,Shrubland,6,0.1,0.6,0.5,150,150,0,,,,,,,
15,Shrubland,6,0.1,0.6,0.5,150,150,0,,,,,,,
16,Shrubland,6,0.1,0.6,0.5,150,150,0,,,,,,,
17,Shrubland,6,0.1,0.6,0.5,150,150,0,,,,,,,
18,Grassland,7.5,0.4,0.4,0.5,150,150,0,,,,,,,
19,Grassland,7.5,0.4,0.4,0.5,150,150,0,,,,,,,
20,Grassland,7.5,0.4,0.4,0.5,150,150,0,,,,,,,
21,InlandForestedWetland,5,1.9,0.8,0.4,150,150,0,,,,,,,
22,InlandForestedWetland,5,1.9,0.8,0.4,150,150,0,,,,,,,
23,Wetland,5,1.9,0.8,0.4,150,150,0,,,,,,,
24,Wetland,5,1.9,0.8,0.4,150,150,0,,,,,,,
25,Wetland,5,1.9,0.8,0.4,150,150,0,,,,,,,
26,IndustrialCommercialTransport,7,2,0.05,0.52,150,150,0,,,,,,,
27,HighDensityUrban,7,2,0.05,0.52,150,150,0,,,,,,,
28,MediumDensityUrban,7,2,0.05,0.52,150,150,0,,,,,,,
29,LowDensityUrban,7,2,0.05,0.52,150,150,0,,,,,,,
30,LowDensityUrban,7,2,0.05,0.52,150,150,0,,,,,,,
31,Construction,0.01,0.6,0.05,0.05,150,150,0,,,,,,,
32,BareArea,0.01,0.6,0.05,0.05,150,150,0,,,,,,,
33,BareRock,0.01,0.6,0.05,0.05,150,150,0,,,,,,,
34,BareArea,0.01,0.6,0.05,0.05,150,150,0,,,,,,,
35,BeachDuneAndSand,0.01,0.6,0.05,0.05,150,150,0,,,,,,,
36,BareArea,0.01,0.6,0.05,0.05,150,150,0,,,,,,,
37,BareArea,0.01,0.6,0.05,0.05,150,150,0,,,,,,,
38,StillWaterBody,0,0.6,0.02,0.05,150,150,0,,,,,,,
39,WaterBody,0,0.6,0.02,0.05,150,150,0,,,,,,,
40,StillWaterBody,0,0.6,0.02,0.05,150,150,0,,,,,,,
41,Watercourse,0,0.6,0.02,0.05,150,150,0,,,,,,,
42,GlacierAndPerpetualSnow,0,0,0.02,0,150,150,0,,,,,,,
43,GlacierAndPerpetualSnow,0,0,0.02,0,150,150,0,,,,,,,
